frequency,spectrum_amplitude,f_max,f_conv_4B
0.0,2.371692252312041e-19,0.025,0.16666666666666666
0.0078125,0.0076181953763023585,0.025,0.16666666666666666
0.015625,0.005386877610987401,0.025,0.16666666666666666
0.0234375,0.004398367151247331,0.025,0.16666666666666666
0.03125,9.719726142871028e-20,0.025,0.16666666666666666
0.0390625,3.0127239420133516e-19,0.025,0.16666666666666666
0.046875,3.744344002190448e-19,0.025,0.16666666666666666
0.0546875,1.919399524901731e-19,0.025,0.16666666666666666
0.0625,2.4458768901042796e-19,0.025,0.16666666666666666
0.0703125,2.3076411687144626e-19,0.025,0.16666666666666666
0.078125,1.3328312899857677e-19,0.025,0.16666666666666666
0.0859375,5.185714915515386e-19,0.025,0.16666666666666666
0.09375,2.053947329963051e-19,0.025,0.16666666666666666
0.1015625,4.6888969341296305e-19,0.025,0.16666666666666666
0.109375,1.1399037659566126e-19,0.025,0.16666666666666666
0.1171875,7.893768323944468e-19,0.025,0.16666666666666666
0.125,2.7079581233526395e-19,0.025,0.16666666666666666
0.1328125,2.803503599775878e-19,0.025,0.16666666666666666
0.140625,3.008355545560377e-19,0.025,0.16666666666666666
0.1484375,2.188745198929269e-19,0.025,0.16666666666666666
0.15625,5.890895486842376e-20,0.025,0.16666666666666666
0.1640625,3.2173036910857943e-19,0.025,0.16666666666666666
0.171875,1.9784669212174477e-19,0.025,0.16666666666666666
0.1796875,2.3437986540476764e-19,0.025,0.16666666666666666
0.1875,1.623156451683724e-19,0.025,0.16666666666666666
0.1953125,1.603406351783309e-19,0.025,0.16666666666666666
0.203125,8.56245020665772e-20,0.025,0.16666666666666666
0.2109375,1.5067820719576802e-19,0.025,0.16666666666666666
0.21875,1.794470648887348e-19,0.025,0.16666666666666666
0.2265625,6.050619224983386e-19,0.025,0.16666666666666666
0.234375,2.573330980016993e-19,0.025,0.16666666666666666
0.2421875,6.558140425285774e-19,0.025,0.16666666666666666
0.25,2.4665971743409823e-19,0.025,0.16666666666666666
0.2578125,2.5222126985582694e-19,0.025,0.16666666666666666
0.265625,1.764236452415563e-19,0.025,0.16666666666666666
0.2734375,7.014349193210189e-19,0.025,0.16666666666666666
0.28125,1.602235867196525e-19,0.025,0.16666666666666666
0.2890625,1.0334100699414467e-19,0.025,0.16666666666666666
0.296875,2.9015252163429384e-19,0.025,0.16666666666666666
0.3046875,3.61135256934454e-19,0.025,0.16666666666666666
0.3125,1.2303885926136796e-19,0.025,0.16666666666666666
0.3203125,1.3701118953343887e-19,0.025,0.16666666666666666
0.328125,7.309993378901144e-20,0.025,0.16666666666666666
0.3359375,2.021275379120132e-19,0.025,0.16666666666666666
0.34375,2.8904194304650255e-19,0.025,0.16666666666666666
0.3515625,3.5110583786108756e-19,0.025,0.16666666666666666
0.359375,2.0079251328677503e-19,0.025,0.16666666666666666
0.3671875,1.242707677863942e-19,0.025,0.16666666666666666
0.375,1.0606658278267675e-19,0.025,0.16666666666666666
0.3828125,1.875128074009625e-19,0.025,0.16666666666666666
0.390625,1.6625980825474736e-20,0.025,0.16666666666666666
0.3984375,2.6243714548787074e-19,0.025,0.16666666666666666
0.40625,3.8204103696846024e-20,0.025,0.16666666666666666
0.4140625,1.9795260183789006e-19,0.025,0.16666666666666666
0.421875,1.962835044409337e-19,0.025,0.16666666666666666
0.4296875,2.441282645797167e-19,0.025,0.16666666666666666
0.4375,2.0348045080373913e-19,0.025,0.16666666666666666
0.4453125,5.010240511314086e-20,0.025,0.16666666666666666
0.453125,6.936927029512114e-20,0.025,0.16666666666666666
0.4609375,2.5011820303213976e-19,0.025,0.16666666666666666
0.46875,7.181854459715323e-20,0.025,0.16666666666666666
0.4765625,5.421010862427522e-20,0.025,0.16666666666666666
0.484375,5.187272922672512e-19,0.025,0.16666666666666666
0.4921875,0.0,0.025,0.16666666666666666
0.5,2.1006417091906648e-19,0.025,0.16666666666666666
